	author	title	lang	subj	datepub
54829	NA	Memorias Posthumas de Braz Cubas	pt	Humorous stories	2017-06-02
55682	NA	Quincas Borba	pt	Brazil -- History -- Empire, 1822-1889 -- Fiction	2017-10-05
55752	NA	Dom Casmurro	pt	Adultery -- Fiction	2017-10-15
55797	NA	Memorial de Ayres	pt	Brazil -- Fiction	2017-10-23
56737	NA	Esau e Jacob	pt	Rio de Janeiro (Brazil) -- Fiction	2018-03-14
57001	NA	Papeis Avulsos	pt	Portuguese fiction -- 19th century	2018-04-19
67935	NA	Reliquias de Casa Velha	pt	Short stories, Brazilian	2022-04-26
33056	NA	Historias Sem Data	pt	Fiction	2010-07-03
53101	NA	A Mao e A Luva	pt	Brazil -- Fiction	2016-09-20
67162	NA	Helena	pt	Brazilian fiction -- 19th century	2022-01-14
67780	NA	Yayá Garcia	pt	Brazil -- Fiction	2022-04-05
61653	NA	Poesias Completas	pt	Brazilian poetry	2020-03-21
